movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genre,peopleNm
20198598,명탐정 피카츄,Pokemon Detective Pikachu,,전체관람가,2019,104,액션,Rob Letterman
20190261,언더 더 씨2,Fish Tales 2,,전체관람가,2017,70,애니메이션,Evan Tramel
20185784,나의 특별한 형제,Inseparable Bros,,12세이상관람가,2018,113,드라마,YOOK Sang-hyo
20198183,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,,전체관람가,2019,79,애니메이션,KIM Hyun-ho
20197503,서스페리아,Suspiria,,청소년관람불가,2018,152,공포(호러),Luca Guadagnino
20185384,호텔 뭄바이,Hotel Mumbai,,15세이상관람가,2018,122,스릴러,Anthony Maras
20199923,라플라스의 마녀,Laplace's Witch,ラプラスの魔女,12세이상관람가,2018,115,미스터리,Takashi Miike
20199949,벤 이즈 백,Ben is Back,,15세이상관람가,2018,103,드라마,Peter Hedges
20199623,고양이 여행 리포트,The Travelling Cat Chronicles,旅猫リポート,전체관람가,2018,119,드라마,Koichiro Miki
20197147,어글리 돌,UglyDolls,UGLYDOLLS,전체관람가,2019,87,애니메이션,Kelly Asbury
20060347,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,El Laberinto Del Fauno,15세이상관람가,2006,118,드라마,Guillermo Del Toro
20199736,프렌즈: 둥지탈출,Manou the Swift,,전체관람가,2019,87,애니메이션,Christian Haas
20199189,미스 스티븐스,Miss Stevens,,12세이상관람가,2016,86,드라마,Julia Hart
20181877,캡틴 마블,Captain Marvel,,12세이상관람가,2018,123,액션,Anna Boden
20169323,안도 타다오,Samurai Architect Tadao Ando,,전체관람가,2016,73,다큐멘터리,Mizuno Shigenori
20183096,생일,Birthday,,전체관람가,2018,120,드라마,LEE Jong-un
20183454,요로나의 저주,The Curse of La Llorona,,15세이상관람가,2019,93,공포(호러),Michael Chaves
19990220,노팅 힐,Notting Hill,Notting Hill,12세관람가,1999,124,멜로/로맨스,Roger Michell
20180825,미성년,Another Child,,15세이상관람가,2018,95,드라마,KIM Yun-seok
20198982,크게 될 놈,,,15세이상관람가,2018,108,드라마,KANG Ji-eun
20198104,바이스,VICE,,15세이상관람가,2018,132,드라마,Adam McKay
20185406,헬보이,Hellboy,,청소년관람불가,2019,120,액션,Neil Marshall
20176103,돈,Money,,15세이상관람가,2018,115,범죄,PARK Nu-ri
20182501,왓칭,Watching,,15세이상관람가,2019,97,공포(호러),
20196244,샤잠!,SHAZAM!,,12세이상관람가,2019,131,액션,David F. Sandberg
20197423,공포의 묘지,Pet Sematary,,15세이상관람가,2018,100,공포(호러),Kevin Kolsch
20185352,어스,Us,,15세이상관람가,2019,116,공포(호러),Jordan Peele
20198844,아이 엠 마더,Peppermint,,15세이상관람가,2018,101,액션,Pierre Morel
20198403,파이브 피트,Five Feet Apart,,15세이상관람가,2019,116,드라마,Justin Baldoni
20183773,장난스런 키스,Fall in Love at First Kiss,一吻定情,12세이상관람가,2018,122,멜로/로맨스,Frankie Chen
20196025,덤보,Dumbo,,전체관람가,2018,111,가족,Tim Burton
20197092,로망,Romang,,전체관람가,2019,111,멜로/로맨스,LEE Chang-geun
20198146,콜레트,COLETTE,,15세이상관람가,2018,112,드라마,Wash Westmoreland
20198023,고릴라와 슈퍼레이스,Louis & Nolan: The big Cheese Race,,전체관람가,2017,77,애니메이션,Rasmus A. Sivertsen
20197846,악질경찰,Jo Pil-ho: The Dawning Rage,,청소년관람불가,2018,127,범죄,LEE Jeong-beom
20166301,썬키스 패밀리,Sunkist Family,,15세이상관람가,2017,105,가족,KIM Ji-hye
20197987,더 길티,The Guilty,Den skyldige,12세이상관람가,2018,88,스릴러,Gustav Moller
20175407,우상,Idol,,15세이상관람가,2018,143,스릴러,LEE Su-jin
20197283,이스케이프 룸,The Escape Room,,15세이상관람가,2018,99,액션,Adam Robitel
20197617,정글북: 마법 원정대,Savva,,전체관람가,2015,80,애니메이션,Maksim Fadeev
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,,15세이상관람가,2019,117,애니메이션,Tomonori Sudo
20197356,라스트 미션,The Mule,,15세이상관람가,2018,116,드라마,Clint Eastwood
20184574,그린 북,Green Book,,12세이상관람가,2018,130,드라마,Peter Farrelly
20196601,항거:유관순 이야기,A Resistance,,12세이상관람가,2018,105,드라마,JOE Min-ho
20182530,극한직업,Extreme Job,,15세이상관람가,2018,111,코미디,LEE Byoung-heon
20185881,증인,Innocent Witness,,12세이상관람가,2018,129,드라마,LEE Han
20196723,숲속왕국의 꿀벌 여왕,Tall Tales,,전체관람가,2017,87,애니메이션,Arnaud Bouron
20177539,사바하,SVAHA : THE SIXTH FINGER,,15세이상관람가,2018,122,미스터리,JANG Jae-hyun
20177282,리노,Lino - Adventure of Seven Lives,Lino: Uma Aventura de Sete Vidas,전체관람가,2017,88,애니메이션,Rafael Ribas
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,15세이상관람가,2018,119,드라마,Giorgos Lanthimos
20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,,전체관람가,2018,87,애니메이션,Lynne Southerland
20196323,더 와이프,The Wife,,15세이상관람가,2017,100,드라마,Bjorn Runge
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,12세이상관람가,2018,116,드라마,KIM Ryu-sung
20186261,드래곤 길들이기 3,How to Train Your Dragon 3,How to Train Your Dragon: The Hidden World,전체관람가,2018,104,애니메이션,Dean Deblois
20195791,"어쩌다, 결혼",Trade Your Love,,12세이상관람가,2018,87,멜로/로맨스,PARK Ho-chan
20188282,알리타: 배틀 엔젤,Alita: Battle Angel,,12세이상관람가,2018,121,액션,Robert Rodriguez
20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,,전체관람가,2002,161,드라마,Chris Columbus
20185576,콜드 체이싱,Cold Pursuit,,15세이상관람가,2019,118,액션,Hans Petter Moland
20195915,해피 데스데이 2 유,Happy Death Day 2 U,,15세이상관람가,2018,100,공포(호러),Christopher Landon
20184888,메리 포핀스 리턴즈,Mary Poppins Returns,,전체관람가,2018,130,판타지,Rob Marshall
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,,12세이상관람가,2018,111,코미디,LEE Min-jae
20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,,12세이상관람가,2008,115,애니메이션,Yasuichiro Yamamoto
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,,전체관람가,2018,78,애니메이션,KIM Jin-cheol
20195984,드래곤볼 슈퍼: 브로리,Dragon Ball Super: Broly,ドラゴンボール超（スーパー） ブロリー,전체관람가,2018,99,애니메이션,Nagamine Tatsuya
20180868,뺑반,Hit-and-Run Squad,,15세이상관람가,2018,133,범죄,HAN Jun-hui
20185444,레고 무비2,The Lego Movie 2: The Second Part,,전체관람가,2019,106,애니메이션,Mike Mitchell
20185124,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,,전체관람가,2018,111,공연,
20184105,말모이,MAL·MO·E: The Secret Mission,,12세이상관람가,2018,135,드라마,EOM Yuna
20184896,가버나움,Capharnaum,Capernaum,15세이상관람가,2018,126,드라마,Nadine Labaki
20176251,내안의 그놈,The Dude in Me,,15세이상관람가,2018,122,판타지,KANG Hyo-jin
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,전체관람가,2018,112,애니메이션,Rich Moore
20182544,글래스,Glass,,15세이상관람가,2018,129,드라마,M. Night Shyamalan
20186324,언더독,Underdog,,전체관람가,2018,101,애니메이션,LEE Chun-baek
20189385,몬스터 파크,Here Comes the Grump,,전체관람가,2018,86,애니메이션,Andres Couturier
20183915,극장판 공룡메카드: 타이니소어의 섬,,,전체관람가,2018,70,애니메이션,CHOI Shin-gyu
